ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_tsum_001.txt,G1,G1,10,100%,10:G1,,,,,,,,,,,,,,,,
_tsum_001.txt,GR1,GR1,17,94%,17:GR1,1:G1,,,,,,,,,,,,,,,
_tsum_001.txt,GR2,GR2,18,100%,18:GR2,,,,,,,,,,,,,,,,
_tsum_001.txt,GR3,GR3,8,89%,8:GR3,1:GR4,,,,,,,,,,,,,,,
_tsum_002_2.txt,Hi9,Hi9,1,100%,1:Hi9,,,,,,,,,,,,,,,,
_tsum_006.txt,Ie1,Ie1,1,100%,1:Ie1,,,,,,,,,,,,,,,,
_tsum_002_2.txt,Ma1,Ma1,1,100%,1:Ma1,,,,,,,,,,,,,,,,
_tsum_002_1.txt,Ma_G3,Ma_G3,1,100%,1:Ma_G3,,,,,,,,,,,,,,,,
_tsum_002_1.txt,Ma_S1,Ma_S1,1,100%,1:Ma_S1,,,,,,,,,,,,,,,,
_tsum_005.txt,Mati2,Mati2,3,100%,3:Mati2,,,,,,,,,,,,,,,,
_tsum_005.txt,Mati4,Mati4,2,100%,2:Mati4,,,,,,,,,,,,,,,,
_tsum_005.txt,Re_G1,Re_G1,2,100%,2:Re_G1,,,,,,,,,,,,,,,,
_tsum_005.txt,Re_H3,Re_H3,1,100%,1:Re_H3,,,,,,,,,,,,,,,,
_tsum_tips_014.txt,Sora,Sora,29,56%,29:Sora,8:Sora3,6:Sora4,4:Sora2,3:Sora6,2:Sora5,,,,,,,,,,,
_tsum_026.txt,Sora2,Sora2,17,74%,17:Sora2,5:Sora6,1:Sora,,,,,,,,,,,,,,
_tsum_tips_012.txt,Sora5,Sora5,1,50%,1:Sora5,1:Sora3,,,,,,,,,,,,,,,
_tsum_tips_004.txt,Sora6,Sora6,1,100%,1:Sora6,,,,,,,,,,,,,,,,
_mina_tips_005.txt,aka1,aka1,45,73%,45:aka1,14:Aka1,1:bg_081,1:Si_H2,1:JSA6,,,,,,,,,,,,
_mina_tips_005.txt,aka2,aka2,39,75%,39:aka2,12:Aka2,1:JSA4,,,,,,,,,,,,,,
wata_ep_02.txt,byo_01,bg_186,4,100%,4:bg_186,,,,,,,,,,,,,,,,
_mina_op.txt,damu2,Damu2,8,53%,8:Damu2,3:bg_002,2:bg_001,1:bg_003,1:bg_182,,,,,,,,,,,,
_mina_026.txt,damu4,bg_003,3,43%,3:bg_003,1:bg_005,1:bg_004,1:bg_002,1:Damu3,,,,,,,,,,,,
onik_002.txt,damu4_01,bg_003,-1,0%,,,,,,,,,,,,,,,,,
_mina_tips_010.txt,denwa,bg_011,10,71%,10:bg_011,4:Denwa,,,,,,,,,,,,,,,
_meak_tips_08.txt,eki,bg_012,3,50%,3:bg_012,2:Eki2,1:bg_013,,,,,,,,,,,,,,
_mina_ep.txt,file,File,19,100%,19:File,,,,,,,,,,,,,,,,
_mina_op.txt,fure1,Fure1,-1,0%,,,,,,,,,,,,,,,,,
_mina_tips_013.txt,fure2,Fure2,1,100%,1:Fure2,,,,,,,,,,,,,,,,
_mina_021.txt,furiker_a,F_a,7,78%,7:F_a,2:Bg0,,,,,,,,,,,,,,,
_mina_021.txt,furiker_b,F_b,5,83%,5:F_b,1:Furiker_b,,,,,,,,,,,,,,,
_mina_021.txt,furiker_c,bg0,4,50%,4:bg0,3:Bg0,1:F_b,,,,,,,,,,,,,,
_mina_024.txt,g1,bg_093,46,78%,46:bg_093,13:G1,,,,,,,,,,,,,,,
_tsum_026.txt,g1_01,G1,5,62%,5:G1,2:bg_093,1:bg_095,,,,,,,,,,,,,,
_mina_024.txt,g2,bg_019,22,54%,22:bg_019,16:G2,2:G1,1:bg_108,,,,,,,,,,,,,
_tsum_026.txt,g2_01,G2,8,80%,8:G2,2:bg_019,,,,,,,,,,,,,,,
_mina_019.txt,g3,G3,6,46%,6:G3,4:bg_211,1:GR1,1:GR2,1:Denwa,,,,,,,,,,,,
_tsum_026.txt,g3_01,bg_211,2,67%,2:bg_211,1:G3,,,,,,,,,,,,,,,
_meak_001.txt,ga1,Ga1,4,100%,4:Ga1,,,,,,,,,,,,,,,,
_mina_op.txt,gk1,bg_108,113,43%,113:bg_108,42:bg_109,34:GK1,30:GK2,24:bg_110,21:GK3,1:bg_235,,,,,,,,,,
_tsum_026.txt,gk1_01,GK1,10,40%,10:GK1,9:GK3,6:GK2,,,,,,,,,,,,,,
_mina_op.txt,gk3,bg_109,77,37%,77:bg_109,44:bg_110,24:GK2,23:bg_108,23:GK3,15:GK1,,,,,,,,,,,
_mina_016.txt,gr1,bg_027,44,76%,44:bg_027,5:GR1,4:GR2,3:bg_028,2:bg_019,,,,,,,,,,,,
_tsum_025.txt,gr1_01,GR1,2,100%,2:GR1,,,,,,,,,,,,,,,,
_mina_015_2.txt,gr2,bg_028,28,70%,28:bg_028,11:GR2,1:bg_093,,,,,,,,,,,,,,
_tsum_026.txt,gr2_01,GR2,6,86%,6:GR2,1:bg_028,,,,,,,,,,,,,,,
_tsum_017.txt,gr3,bg_095,7,39%,7:bg_095,7:bg_094,3:GR3,1:GR4,,,,,,,,,,,,,
_mina_ep.txt,gry2,GRY1,4,100%,4:GRY1,,,,,,,,,,,,,,,,
_tsum_026.txt,gy3_01,Gy3,4,40%,4:Gy3,2:Gy4,1:bg_095,1:Gy1,1:Gy2,1:Sora6,,,,,,,,,,,
_tsum_026.txt,gy7,Gy1,1,33%,1:Gy1,1:Gy2,1:Gy8,,,,,,,,,,,,,,
tata_013_02.txt,hasi1,bg_029,3,100%,3:bg_029,,,,,,,,,,,,,,,,
hima_002.txt,hasi3,bg_032,2,33%,2:bg_032,2:bg_031,1:bg_030,1:bg_033,,,,,,,,,,,,,
_tsum_022.txt,heya1,bg_035,5,25%,5:bg_035,4:bg_036,4:bg_034,3:Heya3,2:bg_037,2:Heya2,,,,,,,,,,,
hima_tips_07.txt,heya1_04,bg_070,1,33%,1:bg_070,1:bg_068,1:bg_035,,,,,,,,,,,,,,
hima_tips_07.txt,heya1_05,bg_034,1,100%,1:bg_034,,,,,,,,,,,,,,,,
_mina_op.txt,hi1,Hi2,13,41%,13:Hi2,10:Hi1,3:bg_048,2:Hi6,1:bg_047,1:bg_050,1:Hi10,1:Hi8,,,,,,,,,
onik_009.txt,hi1_01,bg_047,1,100%,1:bg_047,,,,,,,,,,,,,,,,
