last_file_found,ps3_name,auto,naegles,final_choice,status,ps3_path,ryukishi_path
unknown,001a,NO_MATCH,gk3,gk3,NAEGLES,external\ps3\ep1\scene\001a.png,external\ryukishi\ep5\CG\gk3.png
unknown,001b,NO_MATCH,gk3,gk3,NAEGLES,external\ps3\ep1\scene\001b.png,external\ryukishi\ep5\CG\gk3.png
unknown,002a,NO_MATCH,m_hi3,m_hi3,NAEGLES,external\ps3\ep1\scene\002a.png,external\ryukishi\ep5\CG\m_hi3.png
unknown,002b,NO_MATCH,m_hi3,m_hi3,NAEGLES,external\ps3\ep1\scene\002b.png,external\ryukishi\ep5\CG\m_hi3.png
unknown,003,NO_MATCH,bg_210,bg_210,NAEGLES,external\ps3\ep2\scene\003.png,external\ryukishi\ep1\CG\bg_210.png
unknown,004,NO_MATCH,m_hi4,m_hi4,NAEGLES,external\ps3\ep1\scene\004.png,external\ryukishi\ep6\CG\m_hi4.png
unknown,004b,NO_MATCH,m_hi4,m_hi4,NAEGLES,external\ps3\ep1\scene\004b.png,external\ryukishi\ep6\CG\m_hi4.png
unknown,006,NO_MATCH,mati_o1,mati_o1,NAEGLES,external\ps3\ep2\flashback\scene\006.png,external\ryukishi\ep5\CG\mati_o1.png
unknown,008,NO_MATCH,gk3,gk3,NAEGLES,external\ps3\ep1\scene\008.png,external\ryukishi\ep5\CG\gk3.png
unknown,009b,NO_MATCH,mati2,mati2,NAEGLES,external\ps3\ep2\scene\009b.png,external\ryukishi\ep5\CG\mati2.png
unknown,010,NO_MATCH,bg_210,bg_210,NAEGLES,external\ps3\ep3\scene\010.png,external\ryukishi\ep1\CG\bg_210.png
unknown,011d,NO_MATCH,jyt1,jyt1,NAEGLES,external\ps3\ep4\scene\011d.png,external\ryukishi\ep5\CG\jyt1.png
unknown,011e,NO_MATCH,jyt1,jyt1,NAEGLES,external\ps3\ep4\scene\011e.png,external\ryukishi\ep5\CG\jyt1.png
unknown,011f,NO_MATCH,jyt1,jyt1,NAEGLES,external\ps3\ep4\scene\011f.png,external\ryukishi\ep5\CG\jyt1.png
unknown,025,NO_MATCH,bg_031,bg_031,NAEGLES,external\ps3\ep3\scene\025.png,external\ryukishi\ep3\CG\bg_031.png
unknown,029,NO_MATCH,jsa3,jsa3,NAEGLES,external\ps3\ep2\scene\029.png,external\ryukishi\ep5\CG\jsa3.png
unknown,031,NO_MATCH,ma_j3,ma_j3,NAEGLES,external\ps3\ep1\scene\031.png,external\ryukishi\ep6\CG\ma_j3.png
unknown,033a,NO_MATCH,ma_g3,ma_g3,NAEGLES,external\ps3\ep1\scene\033a.png,external\ryukishi\ep6\CG\ma_g3.png
unknown,033b,NO_MATCH,ma_g3,ma_g3,NAEGLES,external\ps3\ep1\scene\033b.png,external\ryukishi\ep6\CG\ma_g3.png
unknown,033c,NO_MATCH,ma_g3,ma_g3,NAEGLES,external\ps3\ep1\scene\033c.png,external\ryukishi\ep6\CG\ma_g3.png
unknown,033d,NO_MATCH,ma_g3,ma_g3,NAEGLES,external\ps3\ep1\scene\033d.png,external\ryukishi\ep6\CG\ma_g3.png
unknown,038a,NO_MATCH,bg_071,bg_071,NAEGLES,external\ps3\ep4\scene\038a.png,external\ryukishi\ep2\CG\bg_071.png
unknown,038b,NO_MATCH,bg_071,bg_071,NAEGLES,external\ps3\ep4\scene\038b.png,external\ryukishi\ep2\CG\bg_071.png
unknown,038c,NO_MATCH,bg_071,bg_071,NAEGLES,external\ps3\ep4\scene\038c.png,external\ryukishi\ep2\CG\bg_071.png
unknown,043a,NO_MATCH,gk1,gk1,NAEGLES,external\ps3\ep3\scene\043a.png,external\ryukishi\ep5\CG\gk1.png
unknown,043b,NO_MATCH,gk1,gk1,NAEGLES,external\ps3\ep3\scene\043b.png,external\ryukishi\ep5\CG\gk1.png
unknown,046,NO_MATCH,oki_g3,oki_g3,NAEGLES,external\ps3\ep3\scene\046.png,external\ryukishi\ep5\CG\oki_g3.png
unknown,07thlogo,NO_MATCH,07thlogo,07thlogo,NAEGLES,external\ps3\ep1\07thlogo.png,external\ryukishi\ep1\CG\07thlogo.png
unknown,101,NO_MATCH,hi6,hi6,NAEGLES,external\ps3\ep1\scene\101.png,external\ryukishi\ep5\CG\hi6.png
unknown,102,NO_MATCH,m_hi3,m_hi3,NAEGLES,external\ps3\ep1\scene\102.png,external\ryukishi\ep5\CG\m_hi3.png
unknown,103a,NO_MATCH,bg_247,bg_247,NAEGLES,external\ps3\ep1\scene\103a.png,external\ryukishi\ep1\CG\bg_247.png
unknown,103b,NO_MATCH,bg_247,bg_247,NAEGLES,external\ps3\ep1\scene\103b.png,external\ryukishi\ep1\CG\bg_247.png
unknown,104,NO_MATCH,ma_j2,ma_j2,NAEGLES,external\ps3\ep1\scene\104.png,external\ryukishi\ep6\CG\ma_j2.png
