ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
_mats_024.txt,aka1,aka1,96,97%,96:aka1,1:ma_j2,1:si_h2,1:jsa6,,,,,,,,,,,,
_mats_024.txt,aka2,aka2,97,99%,97:aka2,1:jsa4,,,,,,,,,,,,,,
_kakera52.txt,basu_soukou,eki2,1,100%,1:eki2,,,,,,,,,,,,,,,
wata_ep_02.txt,byo_01,sinryo_sinsatu1,4,100%,4:sinryo_sinsatu1,,,,,,,,,,,,,,,
_mats_022.txt,byo_ten,ke6,5,83%,5:ke6,1:ke5,,,,,,,,,,,,,,
_mats_022.txt,chika_rouka,sr_2,5,62%,5:sr_2,3:sr_1,,,,,,,,,,,,,,
_mats_022.txt,chika_sekyurithi,torakku2,21,100%,21:torakku2,,,,,,,,,,,,,,,
_mats_op.txt,chika_shisetsu,ko1,6,55%,6:ko1,5:sr_1,,,,,,,,,,,,,,
_mina_op.txt,damu2,damu2,11,73%,11:damu2,2:bg_001,1:damu3,1:bg_182,,,,,,,,,,,,
_mina_026.txt,damu4,damu3,4,57%,4:damu3,1:bg_005,1:bg_004,1:damu2,,,,,,,,,,,,
onik_002.txt,damu4_01,NO_MATCH,0,0%,,,,,,,,,,,,,,,,
_mats_018.txt,denwa,denwa,18,100%,18:denwa,,,,,,,,,,,,,,,
_meak_tips_08.txt,eki,bg_012,3,50%,3:bg_012,3:eki2,,,,,,,,,,,,,,
_mats_025.txt,file,file,24,100%,24:file,,,,,,,,,,,,,,,
_mats_008.txt,fure1,fure1,8,100%,8:fure1,,,,,,,,,,,,,,,
_mats_008.txt,fure2,fure2,8,89%,8:fure2,1:fure3,,,,,,,,,,,,,,
_mats_025.txt,furiker_a,f_a,11,85%,11:f_a,2:bg0,,,,,,,,,,,,,,
_mats_025.txt,furiker_b,f_b,10,83%,10:f_b,1:furiker_b,1:bg0,,,,,,,,,,,,,
_mats_025.txt,furiker_c,bg0,8,80%,8:bg0,2:f_b,,,,,,,,,,,,,,
_mats_013.txt,g1,g1,74,100%,74:g1,,,,,,,,,,,,,,,
_tsum_026.txt,g1_01,g1,7,88%,7:g1,1:gr4,,,,,,,,,,,,,,
_mats_013.txt,g2,g2,42,93%,42:g2,2:g1,1:gk1,,,,,,,,,,,,,
_tsum_026.txt,g2_01,g2,10,100%,10:g2,,,,,,,,,,,,,,,
_mina_019.txt,g3,g3,10,77%,10:g3,1:gr1,1:gr2,1:denwa,,,,,,,,,,,,
_tsum_026.txt,g3_01,g3,3,100%,3:g3,,,,,,,,,,,,,,,
_meak_001.txt,ga1,ga1,4,100%,4:ga1,,,,,,,,,,,,,,,
_mats_025.txt,gk1,gk1,171,56%,171:gk1,72:gk2,62:gk3,1:bg_235,,,,,,,,,,,,
