PS3 Background,Match 1,Match 2,Match3,Comment
2,2,,,
3,3,,,
4,4,,,
5,5,,,
07thlogo,07thlogo,,,
aa,aa,,,
alphaimage,…,,,
bg_089_mo,bg_089,,,
bg_161,bg_161,,,
bg_226,bg_226,,,
bg_235,bg_235,,,
bg_246b,bg_246,,,
black,black,,,
c,c,,,
centerblind,centerblind,,,
cinema,cinema,,,
down,down,,,
e1,…,,,
end,end,,,
end_1,end_1,,,
end_1_j,end_1_j,,,
end_2,end_2,,,
end_2_j,end_2_j,,,
end_3,end_3,,,
end_3_j,end_3_j,,,
title02_j,title_j,,,
ex_jump,ex_jump,,,
ex_otsu,ex_otsu,,,
ex_otsu_hima,ex_otsu_hima,,,
ex_otsu_tata,ex_otsu_tata,,,
ex_otsu_wata,ex_otsu_wata,,,
ex_tips,ex_tips,,,
haikei,haikei,,,
haikei-,haikei,,,
left,left,,,
logo,logo,,,
logo_j,logo_j,,,
logomask,logomask,,,
m1,m1,,,
mangagamer,mangagamer,,,
mask_1900,mask_1900,,,
mask1013,mask1013,,,
mask1014,mask1014,,,
mask1020,mask1020,,,
no_data,no_data,,,
red,red,,,
right,right,,,
s_jump_back,s_jump_back,,,
scenario_a,scenario_a,,,
scenario_b,scenario_b,,,
scenario_b_j,scenario_b_j,,,
scenario_c,scenario_c,,,
scenario_c_j,scenario_c_j,,,These scenarios are different for each chapter but called the same
sora1,bg_204,,,
staff01,staff01,,,
tata_jisitu01,tata_jisitu01,,,
tata_jisitu02,tata_jisitu02,,,
tata_jisitu03,tata_jisitu03,,,
tata_kuruma01,tata_kuruma01,,,
tata_kuruma02,tata_kuruma02,,,
tata_kuruma03,tata_kuruma03,,,
tata_kuruma04,tata_kuruma04,,,
tata_kuruma05,tata_kuruma05,,,
tata_kuruma06,tata_kuruma06,,,
tata_kuruma07,tata_kuruma07,,,
tata_sato01,tata_sato01,,,
title02,title02,,,
title02_j,title02_j,,,
toketu1a,toketu1a,,,
toketu1b,toketu1b,,,
toketu1c,toketu1c,,,
up,up,,,
white,white,,,
windo_filter,windo_filter,,,
windo_filter_adv,…,,,
windo_filter_nvladv,…,,,
aka1,aka1,,,
aka2,aka2,,,
byo_01,bg_186,,,
damu2,bg_002,,,
damu4,bg_004,,,
damu4_01,bg_004,,,
denwa,bg_011,,,
eki,bg_012,,,
file,bg_181,,,The notebook is just a newspaper in og
furiker_a,furiker_a,,,
furiker_b,furiker_b,,,
furiker_c,furiker_a,,,Only 2 in og
g1,bg_093,,,
g1_01,g1,,,
g2,bg_019,,,
g2_01,g2,,,
g3,bg_211,,,
g3_01,bg_211,,,
gk1,bg_108,,,
gk1_01,bg_108,,,
gk3,bg_109,,,
gr1,bg_027,,,
gr2,bg_028,,,
gr2_01,bg_028,,,
gr3,bg_094,,,
gy3_01,gr3,,,
hasi1,bg_029,,,
hasi3,bg_032,,,
heya1,bg_035,,,
heya1_04,bg_035,,,
heya1_05,bg_035,,,No closed door background in og
hi_scroll,bg_041,,,
hi_scroll_01,bg_041,,,
hi1,bg_047,,,
hi1_01,bg_047,,,
hi3,bg_049,,,
hi4,bg_050,,,
hi4_01,bg_050,,,
hi5,bg_051,,,
hi5_01,bg_051,,,
hi9,bg_055,,,
ho_2,bg_057,,,There are more Houjo house backgrounds in og
ho_r1,bg_058,,,
ho1,bg_059,,,
ho1_02,bg_059,,,
hu_tenjyou,bg_082,,,No equivalent
honoo,red,aka2,,og uses 2 backgrounds for the fire one
hoteru,bg_056,,,
hu_r1,bg_062,,,
ie1,bg_066,,,
ie1_01,bg_066,,,
ima1,bg_068,,,
ima3,bg_070,,,
jansou,bg_071,,,
jd4,bg_010,,,
jd4_01,bg_010,,,No missing bear background in og
je1,bg_014,,,
je2,bg_016,,,"There are quite a few more festival backgrounds in og (bg_007, bg_008, bg_015, bg_017)"
ji1,bg_074,,,
ji1_01,bg_074,,,
ji2,bg_075,,,
ji2_01,bg_075,,,
ji6,bg_079,,,
jok1,bg_151,,,
jok2,bg_152,,,
js1,bg_079,,,
js1_01,bg_079,,,
js3,bg_176,,,Unsure about this one
js3_01,bg_176,,,Unsure about this one
js4_01,bg_070,,,Unsure about this one
jsa1,bg_175,,,
jsa7,bg_176,,,
jsa7_01,bg_176,,,
jt1,bg_052,,,
jt1_01,bg_052,,,
jt2,bg_217,,,
jt2_01,bg_217,,,
juku1_01,bg_083,,,
jy1,bg_244,,,
jy2,bg_245,,,
jys1,bg_244,,,Poor match
jysa1,bg_261,,,
jyt1,bg_262,,,
jyt2,bg_263,,,
kawa1,bg_086,,,
kawa4,bg_087,,,
ke_ky1,bg_111,,,
ke_ky2,bg_112,,,
ke_s2,bg_192,,,
ke1,bg_091,,,
ke2,bg_172,,,
ke5,bg_089,,,
kimi_o1_08,bg_223,,,
koya1_02,bg_097,,,
kukou1,bg_099,,,
kuruma1,bg_100,,,
kuruma1_02,bg_100,,,
kuruma2,bg_101,,,
kuruma2_01,bg_101,,,
kuruma2_02,bg_101,,,
kuruma3,bg_102,,,
kuruma3_01,bg_102,,,Only one car in og
kuruma3_02,bg_102,,,Only one car in og
kuruma4,bg_103,,,
kuruma4_01,bg_103,,,
kuruma5,bg_104,,,
kuruma5_01,bg_106,,,
kuruma5_03,bg_104,,,
kuruma6,bg_105,,,
m_hi1,bg_038,,,
m_hi1_01,bg_038,,,
m_hi3,bg_040,,,
m_hi3_01,bg_040,,,
m_hi4,bg_041,,,
m_hi4_01,bg_041,,,
m_hi5,bg_042,,,
m_hi5_01,bg_042,,,
m_hi6,bg_043,,,
m_hi6_01,bg_043,,,
m_hi8,bg_045,,,
m_y1,bg_249,,,
m_y2,bg_250,,,
m_y2_02,bg_250,,,
m_y2_04,bg_250,,,
m_y4,bg_252,,,
m_y4_01,bg_252,,,No daytime equivalent
m_y7,bg_255,,,
ma_d1,bg_115,,,
ma_d1_01,bg_115,,,
ma_g1,bg_020,,,
ma_g1_01,bg_020,,,
ma_g2,bg_021,,,
ma_g3_01,bg_022,,,
ma_g3_02,bg_022,,,No slightly opened door bg. Using closed bg
ma_j3,bg_081,,,Might need some review
ma_j3_01,bg_081,,,
ma_j3_03,bg_081,,,
ma_j3_05,bg_081,,,
ma_s1,bg_210,,,
ma1,bg_117,,,
ma1_01,bg_117,,,
ma1_02,bg_117,,,
ma2,bg_118,,,
ma2_01,bg_118,,,
ma3,bg_119,,,
ma3_01,bg_119,,,
ma3_02,bg_119,,,
ma5,bg_121,,,
ma5_01,bg_121,,,
mati_o1,bg_153,,,
mati_o2,bg_155,,,
mati_o4,bg_156,,,
mati_o6,bg_158,,,
mati2,bg_124,,,
mati3,bg_125,,,
mati4,bg_126,,,
mati7,bg_129,,,
mati12,bg_134,,,
mo_b1,bg_046,,,
mo_g1,bg_023,,,
mo_g1_01,bg_023,,,
mo_g2,bg_024,,,
mo_g2_01,bg_024,,,
mo_g3_01,bg_006,,,No direct match yet but Tsumi has one I think
mo1,bg_141,,,
mo1_01,bg_141,,,
mo1_02,bg_256,,,
mo2,bg_141,,,
mo2_01,bg_141,,,
mo2_02,bg_256,,,
mo3,bg_143,,,
mo3_01,bg_143,,,
mo3_02,bg_258,,,
mo4,bg_144,,,
mo4_01,bg_144,,,
mo4_02,bg_144_mo1,,,Not sure about this
mo4_05,bg_144,,,
moon,bg_122,,,
nort,bg_181,,,"Not sure here, using newspaper for notebook"
oki_g3,bg_150,,,
oni1,bg_159,,,
res_s1,bg_168,,,
res_s1_01,bg_168,,,
res1,bg_163,,,
res1_01,bg_163,,,
res2,bg_162,,,
res4,bg_164,,,
res4_01,bg_164,,,
res5,bg_165,,,
res5_01,bg_165,,,
rouka1,bg_197,,,
ryoutei2_01,bg_068,,,I think
ryuuketu1,ryuuketu1,,,
saiguden_01,bg_178,,,
saiguden_02,bg_178,,,
simen3,bg_182,,,I think
sinryou_matiai1,bg_184,,,
sinryou_matiai1_01,bg_184,,,
