ps3 sprite file, ps3 image, ryukishi best match, manual match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
omake.txt,sprite/aka_def_,Aka_Def,,26,93%,26:Aka_Def,1:aka_Def,1:sprites/sonota/aka_def,,,,,,,,,,,,,,,,,
_mats_019.txt,sprite/aka_sakebi_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mats_019.txt,sprite/aka_warai_,Aka_Def,,2,100%,2:Aka_Def,,,,,,,,,,,,,,,,,,,
omake.txt,sprite/aks1_def_,Aks_Def,,25,78%,25:Aks_Def,2:Aks_MajimeA2,2:sprites/sonota/aks_def,1:Aks_majimeA1,1:Aks_majimeA2,1:Aks_IkariA1,,,,,,,,,,,,,,
_mats_022.txt,sprite/aks1_sakebi_,Aks_IkariB1,,1,50%,1:Aks_IkariB1,1:Aks_IkariB2,,,,,,,,,,,,,,,,,,
hirukowashi03.txt,sprite/aks1_shinken_,Aks_MajimeA1,,12,39%,12:Aks_MajimeA1,8:Aks_majimeA1,4:Aks_MajimeA2,3:Aks_majimeA2,1:Aks_IkariB1,1:Aks_majimeB2,1:Aks_IkariB2,1:sprites/sonota/aks_majimea1,,,,,,,,,,,,
_mats_025.txt,sprite/aks1_warai_,Aks_Warai,,15,100%,15:Aks_Warai,,,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/aks2_kakusei_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/aks2_niyari_,Aks_MajimeA2,,1,100%,1:Aks_MajimeA2,,,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/aks2_sakebi_,Aks_IkariB2,,1,100%,1:Aks_IkariB2,,,,,,,,,,,,,,,,,,,
_mats_021.txt,sprite/aks2_shinken_,Aks_IkariB1,,3,60%,3:Aks_IkariB1,1:Aks_IkariB2,1:no_data,,,,,,,,,,,,,,,,,
_mats_022.txt,sprite/ama_niyari_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mats_022.txt,sprite/ama_odoroki_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_mats_022.txt,sprite/ama_sakebi_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
hima_tips_10.txt,sprite/chibimion_def_,me_si_de_a1,,3,75%,3:me_si_de_a1,1:me_si_de_a2,,,,,,,,,,,,,,,,,,
hima_tips_10.txt,sprite/chibimion_shinken_,me_si_ma_a1,,1,100%,1:me_si_ma_a1,,,,,,,,,,,,,,,,,,,
hima_tips_10.txt,sprite/chibimion_warai_,me_si_wa_a2,,1,50%,1:me_si_wa_a2,1:me_si_wa_a1,,,,,,,,,,,,,,,,,,
hima_tips_10.txt,sprite/chibimion_wink_,me_si_wi_a1,,2,100%,2:me_si_wi_a1,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/chibimion_def_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/chibimion_shinken_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
_meak_013.txt,sprite/flashback/kasa_2_,Kasa2,,2,100%,2:Kasa2,,,,,,,,,,,,,,,,,,,
_meak_013.txt,sprite/flashback/kasa_3_,Kasa3,,1,100%,1:Kasa3,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/ki_def_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
hima_002_03.txt,sprite/flashback/ki_komaru_,NO_MATCH,,0,0%,,,,,,,,,,,,,,,,,,,,
tata_013.txt,sprite/flashback/me1a_akuwarai_a1_,me_se_aw_a1,,1,100%,1:me_se_aw_a1,,,,,,,,,,,,,,,,,,,
