ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Aka_Def,sprite/aka_def_,26,90%,26:sprite/aka_def_,2:sprite/aka_warai_,1:sprite/ki_warai_,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_Def,sprite/aks1_def_,25,100%,25:sprite/aks1_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_IkariA1,sprite/aks1_def_,1,100%,1:sprite/aks1_def_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_IkariB1,sprite/aks2_shinken_,3,60%,3:sprite/aks2_shinken_,1:sprite/aks1_sakebi_,1:sprite/aks1_shinken_,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_IkariB2,sprite/aks2_shinken_,1,25%,1:sprite/aks2_shinken_,1:sprite/aks2_sakebi_,1:sprite/aks1_shinken_,1:sprite/aks1_sakebi_,,,,,,,,,,,,,,,,,,,,,,,
,Aks_MajimeA1,sprite/aks1_shinken_,12,100%,12:sprite/aks1_shinken_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_MajimeA2,sprite/aks1_shinken_,4,57%,4:sprite/aks1_shinken_,2:sprite/aks1_def_,1:sprite/aks2_niyari_,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_Warai,sprite/aks1_warai_,15,100%,15:sprite/aks1_warai_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_majimeA1,sprite/aks1_shinken_,8,89%,8:sprite/aks1_shinken_,1:sprite/aks1_def_,,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_majimeA2,sprite/aks1_shinken_,3,75%,3:sprite/aks1_shinken_,1:sprite/aks1_def_,,,,,,,,,,,,,,,,,,,,,,,,,
,Aks_majimeB2,sprite/aks1_shinken_,1,100%,1:sprite/aks1_shinken_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Furiker_b,sprite/tie_2_,1,100%,1:sprite/tie_2_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ha_AuA1,sprite/ha3a_au_,11,85%,11:sprite/ha3a_au_,1:sprite/ha2a_au_,1:sprite/ha2a_def_,,,,,,,,,,,,,,,,,,,,,,,,
,Ha_AuA1%,sprite/ha1_au_,29,100%,29:sprite/ha1_au_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ha_Aua1,sprite/ha3a_au_,1,100%,1:sprite/ha3a_au_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ha_DefA1,sprite/ha3a_def_,7,47%,7:sprite/ha3a_def_,5:sprite/ha2a_def_,1:sprite/ha2b_def_,1:sprite/ri2_warai_a1_,1:sprite/kei2_warai_,,,,,,,,,,,,,,,,,,,,,,
,Ha_DefA1%,sprite/ha1_def_,15,94%,15:sprite/ha1_def_,1:sprite/ha2a_def_,,,,,,,,,,,,,,,,,,,,,,,,,
