ps3 sprite file, source image, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match
, re_se_de_a1, 84, 80%, 84:sprite/normal/re1a_def_a1_, 5:sprite/normal/re1a_nande_a1_, 3:sprite/sunset/re1a_def_a1_, 2:sprite/normal/me1a_def_a1_, 2:sprite/normal/re1a_komaru_a1_, 2:sprite/normal/re1a_okoru_a1_, 1:sprite/normal/me1a_huteki_a1_, 1:sprite/normal/re1a_warai_a1_, 1:sprite/flashback/re1a_def_a1_, 1:portrait/normal/re1a_def_a1_, 1:sprite/normal/re1b_def_b1_, 1:sprite/normal/re1a_komaru_a2_, 1:sprite/normal/re1b_nande_b1_
, re_se_wa_a1, 70, 84%, 70:sprite/normal/re1a_warai_a1_, 7:portrait/normal/re1a_warai_a1_, 1:sprite/normal/me1b_warai_a1_, 1:sprite/normal/me1b_wink_a1_, 1:sprite/normal/re1a_okoru_a1_, 1:sprite/sunset/re1a_warai_a1_, 1:sprite/normal/re1a_komaru_a2_, 1:sprite/normal/re1a_nande_a1_, , , , , 
, oi_si_de_a1, 59, 82%, 59:sprite/normal/oisi1_1_, 6:sprite/sunset/oisi1_1_, 4:sprite/night/oisi1_1_, 1:portrait/night/oisi1_1_, 1:portrait/normal/oisi1_1_, 1:sprite/normal/oisi1_5_, , , , , , , 
, oi_si_wa_a1, 59, 79%, 59:sprite/normal/oisi1_2_, 6:sprite/night/oisi1_2_, 6:sprite/sunset/oisi1_2_, 2:portrait/normal/oisi1_2_, 1:sprite/normal/oisi1_1_, 1:sprite/normal/oisi1_5_, , , , , , , 
, ri_se_de_a1, 57, 93%, 57:sprite/normal/ri1_def_a1_, 2:sprite/normal/ri1_fuman_a1_, 1:portrait/normal/ri1_def_a1_, 1:sprite/flashback/ri1_def_a1_, , , , , , , , , 
, re_se_na_a1, 51, 98%, 51:sprite/normal/re1a_nande_a1_, 1:sprite/flashback/re1a_nande_a1_, , , , , , , , , , , 
, re_se_wa_b1, 43, 83%, 43:sprite/normal/re1b_warai_b1_, 2:sprite/normal/re1a_komaru_a2_, 1:sprite/normal/si1a_wink_a1_, 1:sprite/normal/tomi1_komaru_, 1:sprite/normal/re1a_def_a1_, 1:sprite/sunset/re1b_warai_b1_, 1:portrait/normal/re1a_nande_a1_, 1:portrait/normal/sa1a_hannbeso_a1_, 1:sprite/normal/re1b_def_b1_, , , , 
, me_se_de_a1, 42, 98%, 42:sprite/normal/me1a_def_a1_, 1:sprite/normal/me1a_yowaki_a1_, , , , , , , , , , , 
, sa_se_aw_a1, 40, 100%, 40:sprite/normal/sa1a_akuwarai_a1_, , , , , , , , , , , , 
, ri_se_ni_a1, 37, 95%, 37:sprite/normal/ri1_niko_a1_, 1:portrait/normal/ri1_niko_a1_, 1:sprite/normal/ri1_fuman_a1_, , , , , , , , , , 
, ri_se_wa_a1, 36, 90%, 36:sprite/normal/ri1_warai_a1_, 2:portrait/normal/ri1_warai_a1_, 1:sprite/normal/ri1_majime_a1_, 1:sprite/flashback/ri1_warai_a1_, , , , , , , , , 
, sa_si_bi_a1, 34, 94%, 34:sprite/normal/sa2a_odoroki_a1_, 1:sprite/normal/sa2a_hannbeso_a1_, 1:sprite/normal/sa2b_warai_b1_, , , , , , , , , , 
, me_se_wi_a2, 33, 92%, 33:sprite/normal/me1a_wink_a1_, 1:sprite/normal/ri1_def_a1_, 1:sprite/normal/me1a_def_a1_, 1:sprite/normal/me1a_akuwarai_a1_, , , , , , , , , 
, me_se_wi_a1, 33, 97%, 33:sprite/normal/me1a_wink_a1_, 1:sprite/normal/me1a_huteki_a1_, , , , , , , , , , , 
, re_se_ha_a1, 33, 94%, 33:sprite/normal/re1a_hau_a1_, 1:portrait/normal/re1a_hau_a1_, 1:sprite/normal/re1a_komaru_a2_, , , , , , , , , , 
, re_si_wa_a1, 32, 73%, 32:sprite/normal/re2a_warai_a1_, 5:sprite/night/re2a_warai_a1_, 4:sprite/sunset/re2a_warai_a1_, 2:portrait/night/re2a_warai_a1_, 1:sprite/normal/sa2a_akuwarai_a1_, , , , , , , , 
, me_si_wi_a2, 30, 83%, 30:sprite/normal/me2_wink_a1_, 5:sprite/night/me2_wink_a1_, 1:sprite/normal/sa2a_akuwarai_a1_, , , , , , , , , , 
, re_se_ko_a1, 29, 76%, 29:sprite/normal/re1a_komaru_a1_, 3:sprite/normal/re1a_komaru_a2_, 2:sprite/sunset/re1a_komaru_a1_, 1:sprite/normal/re1a_warai_a1_, 1:sprite/normal/ta1_warai_, 1:sprite/normal/re1a_bikkuri_a1_, 1:sprite/normal/re1a_okoru_a1_, , , , , , 
, re_si_de_a1, 29, 67%, 29:sprite/normal/re2a_def_a1_, 9:sprite/night/re2a_def_a1_, 2:sprite/sunset/re2a_def_a1_, 1:sprite/night/re2a_okoru_a1_, 1:portrait/night/re2a_def_a1_, 1:sprite/night/re2b_def_b1_, , , , , , , 
, me_si_de_a1, 28, 72%, 28:sprite/normal/me2_def_a1_, 4:sprite/night/me2_def_a1_, 2:sprite/normal/chibimion_def_, 1:sprite/sunset/chibimion_def_, 1:portrait/normal/me2_def_a1_, 1:portrait/night/me2_def_a1_, 1:sprite/normal/me2_tohoho_a1_, 1:sprite/normal/me2_akuwarai_a1_, , , , , 
, sa_se_bi_a1, 26, 93%, 26:sprite/normal/sa1a_odoroki_a1_, 1:sprite/normal/sa1a_yareyare_a1_, 1:portrait/normal/sa1a_odoroki_a1_, , , , , , , , , , 
, re_si_wa_b1, 26, 79%, 26:sprite/normal/re2b_warai_b1_, 3:sprite/night/re2b_warai_b1_, 1:portrait/sunset/re2a_warai_a1_, 1:sprite/sunset/re2b_warai_b1_, 1:sprite/night/re2b_nande_b1_, 1:portrait/night/re2a_warai_a1_, , , , , , , 
, sa_se_de_a1, 25, 93%, 25:sprite/normal/sa1a_def_a1_, 2:sprite/flashback/sa1a_def_a1_, , , , , , , , , , , 
, re_si_ha_a1, 23, 82%, 23:sprite/normal/re2a_hau_a1_, 3:sprite/sunset/re2a_hau_a1_, 2:sprite/night/re2a_hau_a1_, , , , , , , , , , 
, sa_si_wa_a1, 23, 96%, 23:sprite/normal/sa2a_warai_a1_, 1:sprite/flashback/sa2a_warai_a1_, , , , , , , , , , , 
, re_si_ka_b1, 23, 92%, 23:sprite/normal/re2b_kaii_b1_, 1:sprite/flashback/re2b_kaii_b1_, 1:sprite/normal/re2b_hau_b1_, , , , , , , , , , 
, sa_si_aw_a1, 23, 79%, 23:sprite/normal/sa2a_akuwarai_a1_, 1:sprite/normal/ri5_def_a1_, 1:sprite/night/sa2a_akuwarai_a1_, 1:sprite/night/me2_warai_a1_, 1:sprite/night/tomi1_komaru_, 1:sprite/normal/sa2b_def_b1_, 1:sprite/normal/sa2a_def_a1_, , , , , , 
, ta_si_de_a1, 23, 52%, 23:sprite/night/ta1_def_, 15:sprite/sunset/ta1_def_, 2:sprite/night/ta1_hatena_, 1:sprite/night/ta1_akuwarai_, 1:sprite/night/si1a_def_a1_, 1:sprite/night/ta1_human_, 1:sprite/normal/ta1_def_, , , , , , 
, si_si_de_a1, 22, 47%, 22:sprite/night/si1a_def_a1_, 12:sprite/sunset/si1a_def_a1_, 9:sprite/normal/si1a_def_a1_, 3:sprite/sunset/si1a_majime_a1_, 1:portrait/night/si1a_def_a1_, , , , , , , , 
, re_se_de_b1, 21, 75%, 21:sprite/normal/re1b_def_b1_, 3:sprite/normal/re1b_nande_b1_, 1:sprite/normal/re1a_def_a1_, 1:sprite/normal/re1b_komaru_b2_, 1:sprite/normal/re1a_nande_a1_, 1:sprite/normal/re1b_okoru_b1_, , , , , , , 
, me_si_wa_a1, 20, 74%, 20:sprite/normal/me2_warai_a1_, 3:sprite/night/me2_warai_a1_, 2:sprite/flashback/me2_warai_a1_, 1:sprite/normal/chibimion_warai_, 1:portrait/night/me2_warai_a1_, , , , , , , , 
, tm_si_de_a1, 20, 43%, 20:sprite/normal/tomi1_def_, 14:sprite/night/tomi1_def_, 11:sprite/sunset/tomi1_def_, 1:sprite/normal/re1a_def_a1_, , , , , , , , , 
, sa_se_ak_a1, 20, 91%, 20:sprite/normal/sa1a_akireru_a1_, 1:portrait/normal/sa1a_akireru_a1_, 1:sprite/flashback/sa1a_akireru_a1_, , , , , , , , , , 
, me_si_wi_a1, 19, 66%, 19:sprite/normal/me2_wink_a1_, 4:sprite/sunset/me2_wink_a1_, 3:sprite/night/me2_wink_a1_, 1:sprite/sunset/chibimion_wink_, 1:sprite/normal/chibimion_wink_, 1:sprite/flashback/me2_wink_a1_, , , , , , , 
, me_se_wa_a1, 18, 100%, 18:sprite/normal/me1a_warai_a1_, , , , , , , , , , , , 
, sa_se_wa_a1, 17, 94%, 17:sprite/normal/sa1a_warai_a1_, 1:portrait/normal/sa1a_warai_a1_, , , , , , , , , , , 
, re_se_bi_b1, 17, 89%, 17:sprite/normal/re1b_bikkuri_b1_, 1:portrait/normal/re1a_bikkuri_a1_, 1:sprite/normal/re1b_nande_b1_, , , , , , , , , , 
, oi_yk_de_a1, 15, 94%, 15:sprite/normal/oisi2_6_, 1:sprite/normal/oisi2_8_, , , , , , , , , , , 
, me_si_wa_a2, 15, 79%, 15:sprite/normal/me2_warai_a1_, 1:sprite/sunset/chibimion_warai_, 1:sprite/night/me2_warai_a1_, 1:portrait/normal/me2_warai_a1_, 1:sprite/sunset/re2a_warai_a1_, , , , , , , , 
, tm_si_wa_a1, 15, 38%, 15:sprite/night/tomi1_warai_, 14:sprite/normal/tomi1_warai_, 10:sprite/sunset/tomi1_warai_, , , , , , , , , , 
, me_se_wi_b2, 15, 94%, 15:sprite/normal/me1b_wink_a1_, 1:sprite/normal/me1b_odoroki_a1_, , , , , , , , , , , 
, me_se_aw_a1, 15, 88%, 15:sprite/normal/me1a_akuwarai_a1_, 1:sprite/normal/me1b_ikari_a1_, 1:sprite/normal/me1b_huteki_a1_, , , , , , , , , , 
, re_se_ha_b1, 15, 94%, 15:sprite/normal/re1b_hau_b1_, 1:sprite/flashback/re1b_hau_b1_, , , , , , , , , , , 
, si_ma_de_a1, 15, 88%, 15:sprite/normal/si2_def_a1_, 1:sprite/normal/si2_yowaki_a1_, 1:sprite/flashback/si2_def_a1_, , , , , , , , , , 
, re_se_bi_a1, 14, 100%, 14:sprite/normal/re1a_bikkuri_a1_, , , , , , , , , , , , 
, me_si_si_a1, 14, 64%, 14:sprite/normal/me2_sinmyou_a1_, 4:portrait/normal/me2_sinmyou_a1_, 3:portrait/night/me2_sinmyou_a1_, 1:sprite/normal/me2_def_a1_, , , , , , , , , 
, me_si_de_a2, 13, 48%, 13:sprite/normal/me2_def_a1_, 5:sprite/night/me2_def_a1_, 3:sprite/sunset/me2_def_a1_, 2:sprite/normal/me2_majime_a1_, 1:sprite/sunset/chibimion_def_, 1:portrait/night/me2_def_a1_, 1:sprite/night/me2_majime_a1_, 1:portrait/normal/me2_def_a1_, , , , , 
, re_si_na_a1, 13, 54%, 13:sprite/normal/re2a_nande_a1_, 5:sprite/night/re2a_nande_a1_, 2:sprite/sunset/re2a_nande_a1_, 2:portrait/night/re2a_nande_a1_, 1:sprite/sunset/re1a_nande_a1_, 1:sprite/normal/re2b_nande_b1_, , , , , , , 
, ri_si_wa_a1, 12, 44%, 12:sprite/normal/ri2_warai_a1_, 4:sprite/normal/rim_warai_, 3:sprite/sunset/rim_warai_, 2:portrait/sunset/rim_warai_, 2:portrait/night/rim_warai_, 1:portrait/normal/rim_def_, 1:portrait/normal/rim_warai_, 1:sprite/night/rim_warai_, 1:sprite/normal/ri2_niko_a1_, , , , 
